Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000616 ,RFM Corporation ,FOOD,131383826,331402980,1001366041,1039129226,7/29/18,26566,SUPER SHOPPING MARKET INC.- CUBAO,"SM Hypermarket Cubao, Edsa Corner M Quezon City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,10,CASE,0.16,133.2
,PCC-000616 ,RFM Corporation ,FOOD,131383825,331402981,1001366042,1039129232,7/29/18,26245,SUPER SHOPPING MARKET INC.- ETON,"SM Hypermarket Eton, EDSA corner Qu Pinyahan, Quezon City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,8,CASE,0.128,106.56
,PCC-000616 ,RFM Corporation ,FOOD,131383817,331402973,1001366040,1039127408,7/29/18,28342,SSM - SUN RESIDENCE,"Espana Blvd., cor. Mayon St. Quezon City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,27,CASE,0.432,359.64
,PCC-000616 ,RFM Corporation ,FOOD,131383829,331403002,1001366056,1039129114,7/29/18,27594,SUPER SHOPPING MARKET INC-JAZZ RESI,Jazz Nicanor Garcia Cor. Jupiter St Brgy. Bel Air Makati City,JF000889,FFM1LX2sX6 save P15,,28 03 2019,12,CASE,0.192,159.84
,PCC-000616 ,RFM Corporation ,FOOD,131383805,331402994,1001366048,1039128782,7/29/18,24701,SUPER SHOPPING MARKET INC.- PASIG,"SM Center Pasig Frontera Verde, C-5 Pasig City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,120,CASE,1.92,1598.4
,PCC-000616 ,RFM Corporation ,FOOD,131383807,331402987,1001366046,1039127413,7/29/18,26059,SUPER SHOPPING MARKET INC.- MANDALU,"SM Hypermarket Shaw Blvd., Cor. E. Brgy. Bagong Silang, Mandaluyong Ci",JF000889,FFM1LX2sX6 save P15,,28 03 2019,52,CASE,0.832,692.64
,PCC-000616 ,RFM Corporation ,FOOD,131383812,331402992,1001366050,1039127407,7/29/18,27229,SUPER SHOPPING MARKET INC.- MONUMEN,"SM Hyperma Mc Arthur Highway, Samso Brgy.78, Zone7, District1, Caloocan",JF000889,FFM1LX2sX6 save P15,,28 03 2019,9,CASE,0.144,119.88
,PCC-000616 ,RFM Corporation ,FOOD,131383824,331402985,1001366044,1039129224,7/29/18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,105,CASE,1.68,1398.6
,PCC-000616 ,RFM Corporation ,FOOD,131383827,331403000,1001366053,1039129105,7/29/18,27120,SUPER SHOPPING MARKET INC.-SUCAT LO,"SM Hypermarket Sucat Lopez, Dr. A. Brgy. San Isidro, Paranaque City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,10,CASE,0.16,133.2
,PCC-000616 ,RFM Corporation ,FOOD,131383819,331402995,1001366049,1039129220,7/29/18,22242,SUPER SHOPPING MARKET INC. -SUCAT,"DR. A. SANTOS AVE., BRGY. SAN DIONI SUCAT, PARAÑAQUE CITY",JF000889,FFM1LX2sX6 save P15,,28 03 2019,77,CASE,1.232,1025.64
,PCC-000616 ,RFM Corporation ,FOOD,131383822,331402998,1001366054,1039129222,7/29/18,25425,SUPER SHOPPING MARKET INC.-MUNTINLU,"National Road, Barangay Tunasan, Muntinlupa City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,22,CASE,0.352,293.04
,PCC-000616 ,RFM Corporation ,FOOD,131383828,331403001,1001366055,1039129109,7/29/18,27222,SUPER SHOPPING MARKET INC-ALABANG Z,"SM Hypermarket, 290 Real St., Alaba Las Piñas City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,7,CASE,0.112,93.24
,PCC-000616 ,RFM Corporation ,FOOD,131383814,331402976,1001366036,1039128779,7/29/18,27440,SUPER SHOPPING  MARKET INC.-ANTIPOL,"SM Hypermarket Antipolo, Brgy. Dali Balimbing, Antipolo City",JF000889,FFM1LX2sX6 save P15,,28 03 2019,6,CASE,0.096,79.92
,PCC-000616 ,RFM Corporation ,FOOD,131383806,331402996,1001366051,1039128783,7/29/18,25407,SUPER SHOPPING MARKET INC.- TAYTAY,"SM City Taytay, Manila East Rd., Ba Taytay, Rizal",JF000889,FFM1LX2sX6 save P15,,28 03 2019,82,CASE,1.312,1092.24
,PCC-000616 ,RFM Corporation ,FOOD,131383818,331402979,1001366038,1039129111,7/29/18,22241,SUPER SHOPPING MARKET INC.- BICUTAN,"SUPER SHOPPING MARKET, INC. ( II ) BAY CITY, PASAY CITY",JF000889,FFM1LX2sX6 save P15,,28 03 2019,102,CASE,1.632,1358.64
