Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000616 ,RFM Corporation ,FOOD,131383997,331403014,1001366031,31256092-00,7/29/18,27085,PUREGOLD PRICE CLUB INC-JUAN LUNA T,"Store#727 Juan Luna St., Near Padre Tondo, Manila",RF000073,ROYAL SWEET CELEBRATION (BAG),,25 03 2019,20,CASE,0.54,330
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",WF000183,WK HTCAKE  CRMYCLASIC400GX24,,18 04 2019,1,CASE,0.032,11.37
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",WF000284,FIESTA ELBOW BIG 1KG X12,,16 06 2020,1,CASE,0.033,12.68
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",JF000942,SEL FILLED MILK 1 LITERX 12,,25 03 2019,1,CASE,0.016,13.19
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",WF000198,FIESTA SPAGHETTI 450Gx24,,20 04 2020,2,CASE,0.028,22.46
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",JF000937,SELECTA MOO CHOCO 100MLX36,,29 03 2019,1,CASE,0.008,4.2
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",JF000945,SEL FULLCREAM MILK 1L X12,,23 03 2019,1,CASE,0.016,13.32
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",RF000051,ROYAL PREMIUM  ELBOW MAC 1KG,,20 06 2020,1,CASE,0.036,12.96
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",WF000202,FIESTA SALAD MAC 1kGX12,,13 06 2020,1,CASE,0.035,12.63
,PCC-000616 ,RFM Corporation ,FOOD,131382995,331403059,1001366034,PO429423,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",RF000054,ROYAL PREMIUM  SALAD MAC 1KG,,12 06 2020,1,CASE,0.033,12.74
,PCC-000616 ,RFM Corporation ,FOOD,131383195,331403058,1001366032,PO400958,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",JF000889,FFM1LX2sX6 save P15,,28 03 2019,3,CASE,0.048,39.96
,PCC-000616 ,RFM Corporation ,FOOD,131383195,331403058,1001366032,PO400958,7/29/18,27677,SAN ROQUE SUPERMARKET RETAIL SYSTEM,"Whs #6 No. 8518 A. Sandoval Ave., San Juan, Cainta, Rizal",WF000284,FIESTA ELBOW BIG 1KG X12,,16 06 2020,1,CASE,0.033,12.68
