Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000137,SC JOHNSON,NON-FOOD,58355148,1037572063,IN00421249,1037572063,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,658432,Baygon Sprayer 1ea/24 PH,,,1,CASE,0.04,3.2
,PCC-000137,SC JOHNSON,NON-FOOD,58355148,1037572063,IN00421249,1037572063,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,646005,OFF Sft & Sntd Ltn 6ml/240 PH,,,1,CASE,0.01,1.88
,PCC-000137,SC JOHNSON,NON-FOOD,58355148,1037572063,IN00421249,1037572063,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,678592,Off For Kids Ltn 6ml/240 PH,,,1,CASE,0.01,1.88
,PCC-000137,SC JOHNSON,NON-FOOD,58355172,1037732752,IN00421253,1037732752,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,658432,Baygon Sprayer 1ea/24 PH,,,1,CASE,0.04,3.2
,PCC-000137,SC JOHNSON,NON-FOOD,58355238,1038093897,IN00421035,1038093897,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,693444,MM Glass&Multi Cln Lav Refill 250ml/24PH,,,1,CASE,0.01,1.18
,PCC-000137,SC JOHNSON,NON-FOOD,58355238,1038093897,IN00421035,1038093897,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,679026,Gld Snstns OceanEsc Rfl 8g/12 MC/IN,,,1,CASE,0,0.35
,PCC-000137,SC JOHNSON,NON-FOOD,58355291,1038120700,IN00421197,1038120700,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,683231,Baygon Protector FIK 500ml +MM APC 500ml/12,,,2,CASE,0.03,14.01
,PCC-000137,SC JOHNSON,NON-FOOD,58355291,1038120700,IN00421197,1038120700,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,303586,Bygn CIK Prtctr 500ml + APC 500ml/12 PH,,,2,CASE,0.03,14.01
,PCC-000137,SC JOHNSON,NON-FOOD,58355366,1038237329,IN00420985,1038237329,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,679037,MM Glass&Multi Cln Lav 500ml/24,,,1,CASE,0.04,13.71
,PCC-000137,SC JOHNSON,NON-FOOD,58355366,1038237329,IN00420985,1038237329,08/03/2018,155024,PSI FREE CHOICE MART,934 CARUNCHO AVENUE                                         ,646006,OFF Ovrtm Ltn 6ml/240 PH,,,1,CASE,0.01,1.88
