Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000613,Ginebra San Miguel,FOOD,460827,700570789,2100653434,3850846,8 07 2018,100000956,ROBINSONS SUPERMARKET CORP,GALLERIA,401500,GSM Angelito 250mL,,,1,CASE,7.5,0.0179463
,PCC-000613,Ginebra San Miguel,FOOD,460825,700570791,2100653436,3850887,8 07 2018,100000977,ROBINSONS SUPERMARKET CORP,METROPOLIS,400501,GSM Frasco 700mL - WAC,,,5,CASE,42,0.08538992
,PCC-000613,Ginebra San Miguel,FOOD,460825,700570791,2100653436,3850887,8 07 2018,100000977,ROBINSONS SUPERMARKET CORP,METROPOLIS,406002,GSM Blue 700mL - Mojito,,,2,CASE,16.8,0.0410286
,PCC-000613,Ginebra San Miguel,FOOD,460825,700570791,2100653436,3850887,8 07 2018,100000977,ROBINSONS SUPERMARKET CORP,METROPOLIS,400000,GSM Round 350mL,,,1,CASE,8.4,0.020029674
,PCC-000613,Ginebra San Miguel,FOOD,460824,700570792,2100653437,3850891,8 07 2018,100000958,ROBINSONS SUPERMARKET CORP,CIRCLE,401500,GSM Angelito 250mL,,,1,CASE,7.5,0.0179463
,PCC-000613,Ginebra San Miguel,FOOD,460824,700570792,2100653437,3850891,8 07 2018,100000958,ROBINSONS SUPERMARKET CORP,CIRCLE,400501,GSM Frasco 700mL - WAC,,,2,CASE,16.8,0.034155968
,PCC-000613,Ginebra San Miguel,FOOD,460824,700570792,2100653437,3850891,8 07 2018,100000958,ROBINSONS SUPERMARKET CORP,CIRCLE,400000,GSM Round 350mL,,,1,CASE,8.4,0.020029674
,PCC-000613,Ginebra San Miguel,FOOD,460824,700570792,2100653437,3850891,8 07 2018,100000958,ROBINSONS SUPERMARKET CORP,CIRCLE,416004,Primera Light Brandy 750mL,,,1,CASE,9,0.022604832
,PCC-000613,Ginebra San Miguel,FOOD,460823,700570793,2100653438,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,416004,Primera Light Brandy 750mL,,,1,CASE,9,0.022604832
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,401500,GSM Angelito 250mL,,,1,CASE,7.5,0.0179463
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,401001,GSM Frasquito 350mL - WAC,,,2,CASE,16.8,0.034056182
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,400501,GSM Frasco 700mL - WAC,,,5,CASE,42,0.08538992
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,405501,GSM Blue Light Gin DS 700mL,,,1,CASE,8.4,0.0205143
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,405010,GSM Blue Distd Spirit 350mL,,,1,CASE,8.4,0.021960276
,PCC-000613,Ginebra San Miguel,FOOD,460822,700570794,2100653439,3850894,8 07 2018,100000959,ROBINSONS SUPERMARKET CORP,MALABON,406002,GSM Blue 700mL - Mojito,,,4,CASE,33.6,0.0820572
,PCC-000613,Ginebra San Miguel,FOOD,460819,700570808,2100653453,3850910,8 07 2018,100000927,ROBINSONS SUPERMARKET CORP,OTIZ,400501,GSM Frasco 700mL - WAC,,,1,CASE,8.4,0.017077984
,PCC-000613,Ginebra San Miguel,FOOD,460819,700570808,2100653453,3850910,8 07 2018,100000927,ROBINSONS SUPERMARKET CORP,OTIZ,406002,GSM Blue 700mL - Mojito,,,2,CASE,16.8,0.0410286
,PCC-000613,Ginebra San Miguel,FOOD,460816,700570812,2100653457,3850926,8 07 2018,100000925,ROBINSONS SUPERMARKET CORP,VICTORIA,400501,GSM Frasco 700mL - WAC,,,2,CASE,16.8,0.034155968
,PCC-000613,Ginebra San Miguel,FOOD,460816,700570812,2100653457,3850926,8 07 2018,100000925,ROBINSONS SUPERMARKET CORP,VICTORIA,405501,GSM Blue Light Gin DS 700mL,,,1,CASE,8.4,0.0205143
,PCC-000613,Ginebra San Miguel,FOOD,460816,700570812,2100653457,3850926,8 07 2018,100000925,ROBINSONS SUPERMARKET CORP,VICTORIA,400000,GSM Round 350mL,,,1,CASE,8.4,0.020029674
,PCC-000613,Ginebra San Miguel,FOOD,460815,700570814,2100653459,3850934,8 07 2018,100000924,ROBINSONS SUPERMARKET CORP,VICTORY MALL,400501,GSM Frasco 700mL - WAC,,,1,CASE,8.4,0.017077984
