Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000616,RFM Corporation,FOOD,131390108,331409477,1001372310,1039702795,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000380,FIESTA P119 3CHEESE SPAGTIPID 1.8 KGX10,,4 04 2019,18,CASE,0.468,331.2
,PCC-000616,RFM Corporation,FOOD,131390108,331409477,1001372310,1039702795,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000381,FIESTA 119 FIL SPAGTIPID 1.8 KG X 10,,22 06 2019,12,CASE,0.312,208.8
,PCC-000616,RFM Corporation,FOOD,131390108,331409477,1001372310,1039702795,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000378,FIESTA P59 SWEET SPAGHETTIPID,,2 07 2019,27,CASE,0.405,283.5
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000284,FIESTA ELBOW BIG 1KG X12,,11 07 2020,2,CASE,0.066,25.36
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000375,FIESTA ELBOW MACARONI 400 X 30,,11 07 2020,5,CASE,0.135,62.25
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000920,SK ORANGE 235ML X 24,,15 06 2019,15,CASE,0.15,94.05
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000921,SK MANGO 235ML X24,,6 06 2019,6,CASE,0.06,38.34
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000922,SK APPLE 235ML X24,,4 08 2019,16,CASE,0.16,100.48
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000942,SEL FILLED MILK 1 LITERX 12,,16 04 2019,20,CASE,0.32,263.8
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000119,WK ALL PURPOSE FLOUR 1KGX12,,11 07 2019,5,CASE,0.135,64.4
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",JF000945,SEL FULLCREAM MILK 1L X12,,23 03 2019,6,CASE,0.096,79.92
,PCC-000616,RFM Corporation,FOOD,131390367,331409475,1001372308,1039720350,8 23 18,26196,SUPER SHOPPING MARKET INC.- LAS PIÑ,"SM Center Las Piñas, Alabang Zapote Brgy. Talon Dos, Las Piñas City",WF000403,WK CHAMP-O-RADO 113GX30,,11 08 2019,9,CASE,0.009,41.58
