Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000137,SC Johnson,NON-FOOD,58655631,58655631,IN00437533,1039726305,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,642933,Bygn Lightning CoilScented TDC 10s/60 PH,,,1,CASE,0.02,8.52
,PCC-000137,SC Johnson,NON-FOOD,58655631,58655631,IN00437533,1039726305,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,690955,Gld AE Peony & Berry 320ml/12 MY/PHI/SG,,,1,CASE,0.01,4.5
,PCC-000137,SC Johnson,NON-FOOD,58655437,58655437,IN00437532,1039550253,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,699058,Mr. Muscle Stick -On Pine 3s 30g/24 PH,,,2,CASE,0.01,2.35
,PCC-000137,SC Johnson,NON-FOOD,58655437,58655437,IN00437532,1039550253,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,669364,BYGN Arsl Prtctr FIK 300ml/12PHSG,,,3,CASE,0.04,12.01
,PCC-000137,SC Johnson,NON-FOOD,58655437,58655437,IN00437532,1039550253,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,696608,MM Mtbc Citrus 750ML VP /12MY,,,3,CASE,0.06,28.56
,PCC-000137,SC Johnson,NON-FOOD,58655437,58655437,IN00437532,1039550253,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,699056,Mr. Muscle Stick-On Lav 3s 30g/24 PH,,,2,CASE,0.01,2.35
,PCC-000137,SC Johnson,NON-FOOD,58655437,58655437,IN00437532,1039550253,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,678971,Glade Sensations WLvndr Rfl R99 8g/12 MC,,,1,CASE,0,0.35
,PCC-000137,SC Johnson,NON-FOOD,58655433,58655433,IN00437531,1039469183,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,699452,Bygn Coil Lavender 10hr 10s x 60/PH,,,2,CASE,0.06,21.35
,PCC-000137,SC Johnson,NON-FOOD,58655285,58655285,IN00437530,1039427521,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,643053,Bygn Anti DengueMosquito Klr 300ml/12 PH,,,1,CASE,0.01,4
,PCC-000137,SC Johnson,NON-FOOD,58655285,58655285,IN00437530,1039427521,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,651724,Pledge Orange 330ml/24 PH,,,1,CASE,0.02,10.61
,PCC-000137,SC Johnson,NON-FOOD,58655285,58655285,IN00437530,1039427521,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,651666,PLEDGE RAINSHOWER 180ml/24 PH,,,1,CASE,0.01,6.01
,PCC-000137,SC Johnson,NON-FOOD,58655285,58655285,IN00437530,1039427521,08 23 18,173990,SANFORD MARKETING CORP.,BANAWE ST. COR. SEN. MARIANO J. CUE,651702,Pledge Rainshower 330ml/24 PH,,,1,CASE,0.02,10.61
,PCC-000137,SC Johnson,NON-FOOD,58650721,58650721,IN00437529,1039750602,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,642137,Baygon MultiInsectKillerArsl 300ml/12 PH,,,1,CASE,0.01,4
,PCC-000137,SC Johnson,NON-FOOD,58650721,58650721,IN00437529,1039750602,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,643058,Bgn MultiInsect SpryKB Pouch 100ml/36 PH,,,1,CASE,0.02,3.5
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,643711,Gld Atmtc Spry Lvd Vn RF 175g/6 TH/MY/IN,,,1,CASE,0,1.6
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,616704,Bgn Arsl Prtctr MIK 500ml/12 PH,,,4,CASE,0.07,24.02
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,669362,BYGN Arsl Prtctr MIK WB 500ml/12PHSG,,,1,CASE,0.02,6.81
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,616703,Bgn Arsl Prtctr MIK  300ml/12 PH,,,2,CASE,0.02,8.01
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,634136,Bygn Fly Paper 200un PH,,,1,CASE,0.01,3.2
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,652073,Gld AtmtcSpry OcnEscp 269ml/4 TH/MY/ID,,,1,CASE,0.01,2.4
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,307559,Bygn MIK Odorlss 500ml+MMBC 450ml/ 12 PH,,,8,CASE,0.21,100.8
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,642271,Gld AtmtcSpray OceanEsc RF 175g/6 MC/TH/ID,,,1,CASE,0,1.6
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,690731,Pledge Pronto Liq Wax Red 250ML/24 PH,,,1,CASE,0.02,6.51
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,652065,Gld AtmtcSpry LVD 269ml/4 TH/MY/ID,,,1,CASE,0.01,2.4
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,669365,BYGN Arsl Prtctr MIK WB 300ml/12PHSG,,,1,CASE,0.01,4.5
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,669363,BYGN Arsl Prtctr MIK WB 600ml/12PHSG,,,1,CASE,0.02,8.31
,PCC-000137,SC Johnson,NON-FOOD,58650541,58650541,IN00437513,1039726292,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,644106,Kiwi Paste SP Black 45ml/12 PH,,,1,CASE,0,0.75
,PCC-000137,SC Johnson,NON-FOOD,58649811,58649811,IN00437562,1039547610,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,671308,Glade Sensations FLemon Rfl 8g/12 MC/IN,,,4,CASE,0.01,1.4
,PCC-000137,SC Johnson,NON-FOOD,58649811,58649811,IN00437562,1039547610,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,678971,Glade Sensations WLvndr Rfl R99 8g/12 MC,,,1,CASE,0,0.35
,PCC-000137,SC Johnson,NON-FOOD,58649811,58649811,IN00437562,1039547610,08 23 18,154597,SUPERVALUE INC.,SANGANDAAN SAMSON ROAD CORNER MA DE                         ,669301,Bygn Mat ADM Rfl 10un/60 PH,,,1,CASE,0.02,1.99
