Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000614,Unilever Philippines,NON-FOOD,2816666663,3810207838,53483711,1809144001,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20274414,DOMEX STD LIQUID PINK POUCH(PH) 36X150ML,,,1,case,0.029,6.8
,PCC-000614,Unilever Philippines,NON-FOOD,2816665281,3810207830,53483704,1809142059,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20277317,PEPSODENT CAVITY FIGHTER PH 144X25G,,,1,case,0.016,4.96
,PCC-000614,Unilever Philippines,NON-FOOD,2816666684,3810207839,53483712,1809144038,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20292568,SURF HS STD PWDR BFRESH MET MP 24X6X82G,,,1,case,0.017,12.13
,PCC-000614,Unilever Philippines,NON-FOOD,2816717040,3810207807,53483683,1809168377,8 07 2018,50207235,AFPCES PSG,Manila City,20304735,KNORR SINIGANG SAM ORIG 144X40G,,,2,case,0.034,12.996
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20304735,KNORR SINIGANG SAM ORIG 144X40G,,,4,case,0.068,25.992
,PCC-000614,Unilever Philippines,NON-FOOD,2816718454,3810207823,53483697,1809156130,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,20304735,KNR SINIGANG SAM ORIG 144X40G,,,50,case,0.85,324.9
,PCC-000614,Unilever Philippines,NON-FOOD,2816717040,3810207807,53483683,1809168377,8 07 2018,50207235,AFPCES PSG,Manila City,20304736,KNORR SINIGANG SAM ORIG 12X12X20G,,,2,case,0.021,7.236
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20304736,KNORR SINIGANG SAM ORIG 12X12X20G,,,2,case,0.021,7.236
,PCC-000614,Unilever Philippines,NON-FOOD,2816718454,3810207823,53483697,1809156130,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,20304736,KNR SINIGANG SAM ORIG12X12X20G,,,50,case,0.521,180.9
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20304737,KNORR SINIGANG MISO 12X(12X25G),,,1,case,0.009,4.482
,PCC-000614,Unilever Philippines,NON-FOOD,2816717043,3810207808,53483684,1809168379,8 07 2018,50207235,AFPCES PSG,Manila City,20304737,KNORR SINIGANG MISO 12X(12X25G),,,3,case,0.027,13.446
,PCC-000614,Unilever Philippines,NON-FOOD,2816718454,3810207823,53483697,1809156130,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,20304737,KNR SINIGNG MISO 12X12X25 G,,,10,case,0.09,44.82
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,20304739,KNORR SINIGANG GABI 12X(12X22G),,,2,case,0.018,7.812
,PCC-000614,Unilever Philippines,NON-FOOD,2816717043,3810207808,53483684,1809168379,8 07 2018,50207235,AFPCES PSG,Manila City,20304739,KNORR SINIGANG GABI 12X(12X22G),,,5,case,0.045,19.53
,PCC-000614,Unilever Philippines,NON-FOOD,2816718454,3810207823,53483697,1809156130,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,20304739,KNR SINIGNG W/GABI 12X12X22 G,,,50,case,0.45,195.3
,PCC-000614,Unilever Philippines,NON-FOOD,2816719808,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,21001434,SURF HS STD PWDR BLOSSOM FRESH 144X82G,,,5,case,0.087,60.97
