Shipment,Principal Code,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000616,RFM Corporation,FOOD,SO21824,DO21824,INV21824,PO21824,08/12/2018,21824,SVI MANILA,"SM CITY MANILA, CONCEPCION COR ARROCEROS AND",JF000363,SK ORANGE DOY 185ML X 10,,,25,CASE,0.0895791,53.25
,PCC-000616,RFM Corporation,FOOD,SO21824,DO21824,INV21824,PO21824,08/12/2018,21824,SVI MANILA,"SM CITY MANILA, CONCEPCION COR ARROCEROS AND",JF000364,SK MANGO DOY 185ML X 10,,,50,CASE,0.1791582,106.5
,PCC-000616,RFM Corporation,FOOD,SO21875,DO21875,INV21875,PO21875,08/12/2018,21875,SVI STA MESA,"SM CENTERPOINT AURORA BLVD.,",JF000365,SK APPLE DOY 185ML X 10,,,75,CASE,0.2687373,159.75
,PCC-000616,RFM Corporation,FOOD,SO21875,DO21875,INV21875,PO21875,08/12/2018,21875,SVI STA MESA,"SM CENTERPOINT AURORA BLVD.,",JF000366,SK GRAPE DOY 185ML X 10,,,10,CASE,0.03583164,21.3
,PCC-000616,RFM Corporation,FOOD,SO21875,DO21875,INV21875,PO21875,08/12/2018,21875,SVI STA MESA,"SM CENTERPOINT AURORA BLVD.,",JF000889,FFM1LX2sX6 save P15,,,5,CASE,0.0794313,66.6
,PCC-000616,RFM Corporation,FOOD,SO23660,DO23660,INV23660,PO23660,08/12/2018,23660,EVER PLUS SUPERSTORE INC MASANGKAY,1357 G MASANGKAY ST. STA CRUZ / MANILA,JF000894,MOO-AT SCHOCO 245MLX24,,,10,CASE,0.08495292,68.2
,PCC-000616,RFM Corporation,FOOD,SO23660,DO23660,INV23660,PO23660,08/12/2018,23660,EVER PLUS SUPERSTORE INC MASANGKAY,1357 G MASANGKAY ST. STA CRUZ / MANILA,JF000896,SK ORANGE DOY 185ML 9+1,,,2,CASE,0.007166328,4.04
,PCC-000616,RFM Corporation,FOOD,SO25774,DO25774,INV25774,PO25774,08/12/2018,25774,ROBINSONS SPMKT VICTORY MALL,717 G/F VICTORY CENTRAL MALL,JF000898,SK APPLE DOY 185ML 9+1,,,2,CASE,0.007166328,4.26
,PCC-000616,RFM Corporation,FOOD,SO25774,DO25774,INV25774,PO25774,08/12/2018,25774,ROBINSONS SPMKT VICTORY MALL,717 G/F VICTORY CENTRAL MALL,JF000899,SK GRAPE DOY 185ML 9+1,,,8,CASE,0.028665312,17.04
,PCC-000616,RFM Corporation,FOOD,SO27760,DO27760,INV27760,PO27760,08/12/2018,27760,PUREGOLD EXTRA BAGONG BARRIO CALO,EDSA COR GREGORIO DE JESUS ST BAGONG BARRIO,JF000913,SEL CHOCO YEY 100 ML X 10,,,8,CASE,0.02104648,10.24
,PCC-000616,RFM Corporation,FOOD,SO27760,DO27760,INV27760,PO27760,08/12/2018,27760,PUREGOLD EXTRA BAGONG BARRIO CALO,EDSA COR GREGORIO DE JESUS ST BAGONG BARRIO,JF000363,SK ORANGE DOY 185ML X 10,,,2,CASE,0.007166328,4.26
,PCC-000616,RFM Corporation,FOOD,SO25872,DO25872,INV25872,PO25872,08/12/2018,25872,PUREGOLD JR ZAPOTE,STARMALL ZAPOTE RD,JF000364,SK MANGO DOY 185ML X 10,,,8,CASE,0.028665312,17.04
,PCC-000616,RFM Corporation,FOOD,SO25872,DO25872,INV25872,PO25872,08/12/2018,25872,PUREGOLD JR ZAPOTE,STARMALL ZAPOTE RD,JF000365,SK APPLE DOY 185ML X 10,,,5,CASE,0.01791582,10.65
,PCC-000616,RFM Corporation,FOOD,SO25872,DO25872,INV25872,PO25872,08/12/2018,25872,PUREGOLD JR ZAPOTE,STARMALL ZAPOTE RD,JF000366,SK GRAPE DOY 185ML X 10,,,5,CASE,0.01791582,10.65
,PCC-000616,RFM Corporation,FOOD,SO26627,DO26627,INV26627,PO26627,08/12/2018,26627,SMC ZAPOTE LAS PINAS,"Savemore Market Zapote, FRC Superma Zapote, Las Piñas City",JF000889,FFM1LX2sX6 save P15,,,5,CASE,0.0794313,66.6
,PCC-000616,RFM Corporation,FOOD,SO26627,DO26627,INV26627,PO26627,08/12/2018,26627,SMC ZAPOTE LAS PINAS,"Savemore Market Zapote, FRC Superma Zapote, Las Piñas City",JF000894,MOO-AT SCHOCO 245MLX24,,,5,CASE,0.04247646,34.1
,PCC-000616,RFM Corporation,FOOD,SO26627,DO26627,INV26627,PO26627,08/12/2018,26627,SMC ZAPOTE LAS PINAS,"Savemore Market Zapote, FRC Superma Zapote, Las Piñas City",JF000896,SK ORANGE DOY 185ML 9+1,,,1,CASE,0.003583164,2.02
