"Inbound Document Number","GR Number","Ship-To Code","Ship-To Name","SKU","SKU Description","Case Weight","Category","Subgrid Location","Pallet ID","Subgrid/Rollcage","Allocated Quantity","Sorted Quantity","Date Sorted"
"ID-180822-001","ZGR-000000080","STC-000000668","ROBINSONS SPMKT MONTALBAN TOWN CENTER","RF000081","ROYAL FILIPINO CELEBRATION",20,"FOOD","GSRT-B01-15,GSRT-B01-16,GSRT-B01-17,GSRT-B01-18,ZEU-C02-01","ZEU000000080","GRC-018",7,7,"Aug 22, 2018"
"ID-180822-001","ZGR-000000027","STC-000000641","ROBINSONS SPMKT ANTIPOLO","RF000048","ROYAL LINGUINE 1KGX18",18.83,"FOOD","GSRT-B01-01,GSRT-B01-02","ZEU000000027","GRC-002",1,1,"Aug 22, 2018"
"ID-180822-001","ZGR-000000016","STC-000000521","PUREGOLD JR SAN DIONISIO","RF000058","ROYAL CHEESY CELEBRATION X 10",18.4,"FOOD","GSRT-B02-22","ZEU000000016","GRC-045",1,1,"Aug 22, 2018"
"ID-180822-001","ZGR-000000016","STC-000000668","ROBINSONS SPMKT MONTALBAN TOWN CENTER","RF000058","ROYAL CHEESY CELEBRATION X 10",18.4,"FOOD","GSRT-B01-15,GSRT-B01-16,GSRT-B01-17,GSRT-B01-18,ZEU-C02-01","ZEU000000016","GRC-018",8,8,"Aug 22, 2018"
"ID-180822-001","ZGR-000000039","STC-000000521","PUREGOLD JR SAN DIONISIO","WF000379","FIESTA 119 SWEET SPAGTIPID 1.8KG X 10",18.4,"FOOD","GSRT-B02-22","ZEU000000039","GRC-045",3,3,"Aug 22, 2018"
"ID-180822-001","ZGR-000000039","STC-000000601","PUREGOLD PRICE CLUB SOUTH PARK","WF000379","FIESTA 119 SWEET SPAGTIPID 1.8KG X 10",18.4,"FOOD","GSRT-B02-23","ZEU000000039","GRC-046",3,3,"Aug 22, 2018"
"ID-180822-001","ZGR-000000046","STC-000000521","PUREGOLD JR SAN DIONISIO","WF000381","FIESTA 119 FIL SPAGTIPID 1.7 KG X 10",17.4,"FOOD","GSRT-B02-22","ZEU000000046","GRC-045",4,4,"Aug 22, 2018"
"ID-180822-001","ZGR-000000081","STC-000000645","ROBINSONS SPMKT BF PARANAQUE","RF000060","ROYAL PREMIUM SPAGHETTI 35X450G",16.8,"FOOD","GSRT-B01-25,GSRT-B02-25","ZEU000000081","GRC-048",1,1,"Aug 22, 2018"
"ID-180822-001","ZGR-000000081","STC-000000648","ROBINSONS SPMKT CALIFORNIA","RF000060","ROYAL PREMIUM SPAGHETTI 35X450G",16.8,"FOOD","GSRT-B01-10,GSRT-B01-11,GSRT-B01-12","ZEU000000081","GRC-012",1,1,"Aug 22, 2018"
"ID-180822-001","ZGR-000000081","STC-000000661","ROBINSONS SPMKT MADISON GALLERIES ALABANG","RF000060","ROYAL PREMIUM SPAGHETTI 35X450G",16.8,"FOOD","GSRT-B01-23","ZEU000000081","GRC-023",1,1,"Aug 22, 2018"
